bank,first,second,metric,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed,positive_favours,sign_flip_two_sided_p
V3_5T,John_fixed,Raw,candidate_tm_same_reference,-0.003672166666666673,-0.002699999999999994,-0.008805877272727278,0.00046087738095236405,4,0,8,12,11,10000,20260821,John_fixed,0.1533203125
V3_5T,Geometry_historical,Simple,best5_tm,0.0010249999999999981,0.0006999999999999923,-0.0012672727272727254,0.0032850416666666588,8,0,4,12,11,10000,20260821,Geometry_historical,0.4365234375
V3_5T,Simple,Raw,best5_tm,-0.0002200000000000026,0.0006299999999999917,-0.00247842045454546,0.0017418768939393915,6,0,6,12,11,10000,20260821,Simple,0.8642578125
V3_5T,John_adaptive,Raw,best5_tm,0.0005675000000000008,0.0020750000000000213,-0.0036809545454545376,0.004154673076923068,9,0,3,12,11,10000,20260821,John_adaptive,0.7919921875
V3_5T,John_fixed,Raw,best5_tm,-0.0027958333333333377,0.0018149999999999972,-0.014430270833333337,0.004453749999999994,10,0,2,12,11,10000,20260821,John_fixed,0.8662109375
J_3T2D,Geometry_historical,Simple,sw_rmsd_9,0.008794981794041071,0.009360948882588538,0.007081547724805795,0.01006858979156488,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
J_3T2D,Geometry_historical,Simple,sw_rmsd_15,0.005845756194511775,0.005647085467327173,0.004538481563322556,0.0070710603880153496,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
J_3T2D,Geometry_historical,Simple,c1_rmsd,0.007478565521014928,0.006489178009324803,0.005096751017701492,0.010191475902326167,11,0,1,12,11,10000,20260821,Geometry_historical,0.001953125
J_3T2D,Geometry_historical,Simple,c1_lddt,0.00039102121138647844,0.0005854158104888763,-0.00038907809510727145,0.001060925781126431,9,0,3,12,11,10000,20260821,Geometry_historical,0.31640625
J_3T2D,Geometry_historical,Simple,candidate_tm_same_reference,-0.0008695000000000045,-0.000150000000000039,-0.0030458420454545347,0.0005255079545454548,5,0,7,12,11,10000,20260821,Geometry_historical,0.52734375
J_3T2D,Simple,Raw,sw_rmsd_9,0.03504038033970543,0.03212259997470568,0.02971189792853528,0.04182290491345317,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_3T2D,Simple,Raw,sw_rmsd_15,0.025400766968174393,0.024580583807908063,0.02002771832485294,0.03170129876736194,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_3T2D,Simple,Raw,c1_rmsd,0.006188383516172902,0.0028943199424276145,0.0005427164430129891,0.013397541466487722,6,0,6,12,11,10000,20260821,Simple,0.091796875
J_3T2D,Simple,Raw,c1_lddt,0.006862527026240452,0.0065328690244932375,0.0049879509032823635,0.009134032300947186,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_3T2D,Simple,Raw,candidate_tm_same_reference,0.00010200000000000486,0.0006459999999999799,-0.0023103954545454436,0.0019704708333333357,8,0,4,12,11,10000,20260821,Simple,0.94140625
J_3T2D,John_adaptive,Raw,sw_rmsd_9,0.2870443199600067,0.2659130150724489,0.23544145103047895,0.3447726135554915,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
J_3T2D,John_adaptive,Raw,sw_rmsd_15,0.28488898994042167,0.2636407013418456,0.22093388006883813,0.35277367483260913,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
J_3T2D,John_adaptive,Raw,c1_rmsd,0.10770003642713306,0.12113827360474261,0.051780476290577616,0.1582632317558114,11,0,1,12,11,10000,20260821,John_adaptive,0.0078125
J_3T2D,John_adaptive,Raw,c1_lddt,-0.009244553648663676,-0.004315778900587208,-0.017505565621684437,-0.0019088923756873557,3,0,9,12,11,10000,20260821,John_adaptive,0.0478515625
J_3T2D,John_adaptive,Raw,candidate_tm_same_reference,-0.008264333333333318,-0.006668999999999967,-0.014186583333333334,-0.002920099999999988,3,0,9,12,11,10000,20260821,John_adaptive,0.017578125
J_3T2D,John_fixed,Raw,sw_rmsd_9,0.3218884536663657,0.2890369404001447,0.26950394051835963,0.3830525114155446,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
J_3T2D,John_fixed,Raw,sw_rmsd_15,0.3238954877224,0.29263622813300216,0.2557453952964876,0.3978551938751716,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
J_3T2D,John_fixed,Raw,c1_rmsd,0.12271091114027592,0.14699229130904,0.06602356540927282,0.1766306163913537,11,0,1,12,11,10000,20260821,John_fixed,0.0029296875
J_3T2D,John_fixed,Raw,c1_lddt,-0.0023099835226780504,-0.0012439533539009562,-0.008878080605178291,0.0033012046248472042,5,0,7,12,11,10000,20260821,John_fixed,0.4814453125
J_3T2D,John_fixed,Raw,candidate_tm_same_reference,-0.008503000000000005,-0.007299,-0.014729636363636365,-0.0030907000000000026,3,0,9,12,11,10000,20260821,John_fixed,0.0185546875
J_3T2D,Geometry_historical,Simple,best5_tm,0.0012058333333333203,0.0007699999999999929,-0.0010030833333333415,0.004413704545454537,9,0,3,12,11,10000,20260821,Geometry_historical,0.5517578125
J_3T2D,Simple,Raw,best5_tm,-0.0013966666666666572,0.0001200000000000645,-0.004177539772727256,0.0005541875000000101,7,0,5,12,11,10000,20260821,Simple,0.4365234375
J_3T2D,John_adaptive,Raw,best5_tm,-0.007226666666666663,-0.003224999999999978,-0.015563750000000001,-0.0008486875000000007,3,0,9,12,11,10000,20260821,John_adaptive,0.078125
J_3T2D,John_fixed,Raw,best5_tm,-0.006691666666666672,-0.0008650000000000047,-0.02053202272727273,0.000810947115384615,6,0,6,12,11,10000,20260821,John_fixed,0.259765625
V3_3T2D,Geometry_historical,Simple,sw_rmsd_9,0.03550685176141377,0.03480120105283113,0.02526481083992602,0.04665281636243051,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
V3_3T2D,Geometry_historical,Simple,sw_rmsd_15,0.017820389688369742,0.01867230252761587,0.012123358291115941,0.023641919350701666,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
V3_3T2D,Geometry_historical,Simple,c1_rmsd,0.007424004284139733,0.0073737670203524175,-0.0006072308228328633,0.014542028285861396,9,0,3,12,11,10000,20260821,Geometry_historical,0.134765625
V3_3T2D,Geometry_historical,Simple,c1_lddt,-0.003714317402061943,-0.003345462559521506,-0.005424030836129153,-0.0021727014145656643,1,0,11,12,11,10000,20260821,Geometry_historical,0.001953125
V3_3T2D,Geometry_historical,Simple,candidate_tm_same_reference,-0.000568166666666659,-0.0004729999999999873,-0.0034037204545454445,0.0019880416666666666,4,0,8,12,11,10000,20260821,Geometry_historical,0.6826171875
V3_3T2D,Simple,Raw,sw_rmsd_9,0.008997692377492298,0.0081593982598136,0.0011198877984870377,0.017168092096378842,8,0,4,12,11,10000,20260821,Simple,0.0595703125
V3_3T2D,Simple,Raw,sw_rmsd_15,0.005279832226660212,-0.002320286709823982,-0.0032297851984310374,0.015479096912175153,6,0,6,12,11,10000,20260821,Simple,0.30859375
V3_3T2D,Simple,Raw,c1_rmsd,0.0015023097676748105,6.067788507735372e-05,-0.005370675980536501,0.009079981677856218,6,0,6,12,11,10000,20260821,Simple,0.7099609375
V3_3T2D,Simple,Raw,c1_lddt,0.012186206195069537,0.01165389151852822,0.009106953001577442,0.015824270128239486,12,0,0,12,11,10000,20260821,Simple,0.0009765625
V3_3T2D,Simple,Raw,candidate_tm_same_reference,-0.00026033333333333464,0.0006150000000000044,-0.0020060000000000104,0.0010773409090908993,7,0,5,12,11,10000,20260821,Simple,0.7880859375
V3_3T2D,John_adaptive,Raw,sw_rmsd_9,0.09327755537248927,0.09894083777400953,0.06532249284719333,0.11901807285263229,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
V3_3T2D,John_adaptive,Raw,sw_rmsd_15,0.07703192371702709,0.08252188551283801,0.052955180512496446,0.10040030741671334,11,0,1,12,11,10000,20260821,John_adaptive,0.001953125
V3_3T2D,John_adaptive,Raw,c1_rmsd,0.04334768050759852,0.039366775067069426,0.02055154588963081,0.06512305760997208,10,0,2,12,11,10000,20260821,John_adaptive,0.00390625
V3_3T2D,John_adaptive,Raw,c1_lddt,-0.004014197721249596,-0.002370643431029773,-0.011377177170387028,0.003465009718368443,5,0,7,12,11,10000,20260821,John_adaptive,0.30859375
V3_3T2D,John_adaptive,Raw,candidate_tm_same_reference,-0.002364166666666674,-0.002567999999999987,-0.006031263636363657,0.0008977499999999995,5,0,7,12,11,10000,20260821,John_adaptive,0.2177734375
V3_3T2D,John_fixed,Raw,sw_rmsd_9,0.11658542349865526,0.12772414900800055,0.08430380843121481,0.14350798355673147,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_3T2D,John_fixed,Raw,sw_rmsd_15,0.10550648004997136,0.12046654308818328,0.07661522975036092,0.12984079616885974,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_3T2D,John_fixed,Raw,c1_rmsd,0.053368907263643774,0.04962941394754239,0.03273213865269532,0.07256579167152245,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_3T2D,John_fixed,Raw,c1_lddt,0.0041289041242155225,0.002960075429895098,-0.0009437364977343107,0.009723219656573858,9,0,3,12,11,10000,20260821,John_fixed,0.1689453125
V3_3T2D,John_fixed,Raw,candidate_tm_same_reference,-0.0034076666666666817,-0.002591999999999997,-0.00933318181818183,0.0008491423076922933,4,0,8,12,11,10000,20260821,John_fixed,0.232421875
V3_3T2D,Geometry_historical,Simple,best5_tm,0.001018333333333318,0.0006600000000000356,-0.001245937500000015,0.004252064393939349,9,0,3,12,11,10000,20260821,Geometry_historical,0.6220703125
V3_3T2D,Simple,Raw,best5_tm,-0.0011358333333333244,-8.500000000000174e-05,-0.0032800208333333136,0.00048252083333334364,6,0,6,12,11,10000,20260821,Simple,0.4052734375
V3_3T2D,John_adaptive,Raw,best5_tm,-0.005124166666666666,-0.003224999999999978,-0.011035727272727265,-0.00034481730769231756,4,0,8,12,11,10000,20260821,John_adaptive,0.0966796875
V3_3T2D,John_fixed,Raw,best5_tm,-0.005217500000000007,0.0002500000000000002,-0.01656004545454546,0.0012171976190476065,7,0,5,12,11,10000,20260821,John_fixed,0.357421875
